symbol,description,exchange,listedMarket,securityType
@MWN25-@KWN25,HARD RED SPRING WHEAT-MGE July 2025 / HARD RED WINTER WHEAT July 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN25-@KWU25,HARD RED SPRING WHEAT-MGE July 2025 / HARD RED WINTER WHEAT September 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN25-@KWZ25,HARD RED SPRING WHEAT-MGE July 2025 / HARD RED WINTER WHEAT December 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN25-@KWH26,HARD RED SPRING WHEAT-MGE July 2025 / HARD RED WINTER WHEAT March 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN25-@KWK26,HARD RED SPRING WHEAT-MGE July 2025 / HARD RED WINTER WHEAT May 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN25-@KWN26,HARD RED SPRING WHEAT-MGE July 2025 / HARD RED WINTER WHEAT July 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN25-@KWU26,HARD RED SPRING WHEAT-MGE July 2025 / HARD RED WINTER WHEAT September 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN25-@KWZ26,HARD RED SPRING WHEAT-MGE July 2025 / HARD RED WINTER WHEAT December 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN25-@KWH27,HARD RED SPRING WHEAT-MGE July 2025 / HARD RED WINTER WHEAT March 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN25-@KWK27,HARD RED SPRING WHEAT-MGE July 2025 / HARD RED WINTER WHEAT May 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN25-@KWN27,HARD RED SPRING WHEAT-MGE July 2025 / HARD RED WINTER WHEAT July 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU25-@KWN25,HARD RED SPRING WHEAT-MGE September 2025 / HARD RED WINTER WHEAT July 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU25-@KWU25,HARD RED SPRING WHEAT-MGE September 2025 / HARD RED WINTER WHEAT September 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU25-@KWZ25,HARD RED SPRING WHEAT-MGE September 2025 / HARD RED WINTER WHEAT December 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU25-@KWH26,HARD RED SPRING WHEAT-MGE September 2025 / HARD RED WINTER WHEAT March 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU25-@KWK26,HARD RED SPRING WHEAT-MGE September 2025 / HARD RED WINTER WHEAT May 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU25-@KWN26,HARD RED SPRING WHEAT-MGE September 2025 / HARD RED WINTER WHEAT July 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU25-@KWU26,HARD RED SPRING WHEAT-MGE September 2025 / HARD RED WINTER WHEAT September 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU25-@KWZ26,HARD RED SPRING WHEAT-MGE September 2025 / HARD RED WINTER WHEAT December 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU25-@KWH27,HARD RED SPRING WHEAT-MGE September 2025 / HARD RED WINTER WHEAT March 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU25-@KWK27,HARD RED SPRING WHEAT-MGE September 2025 / HARD RED WINTER WHEAT May 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU25-@KWN27,HARD RED SPRING WHEAT-MGE September 2025 / HARD RED WINTER WHEAT July 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ25-@KWN25,HARD RED SPRING WHEAT-MGE December 2025 / HARD RED WINTER WHEAT July 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ25-@KWU25,HARD RED SPRING WHEAT-MGE December 2025 / HARD RED WINTER WHEAT September 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ25-@KWZ25,HARD RED SPRING WHEAT-MGE December 2025 / HARD RED WINTER WHEAT December 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ25-@KWH26,HARD RED SPRING WHEAT-MGE December 2025 / HARD RED WINTER WHEAT March 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ25-@KWK26,HARD RED SPRING WHEAT-MGE December 2025 / HARD RED WINTER WHEAT May 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ25-@KWN26,HARD RED SPRING WHEAT-MGE December 2025 / HARD RED WINTER WHEAT July 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ25-@KWU26,HARD RED SPRING WHEAT-MGE December 2025 / HARD RED WINTER WHEAT September 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ25-@KWZ26,HARD RED SPRING WHEAT-MGE December 2025 / HARD RED WINTER WHEAT December 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ25-@KWH27,HARD RED SPRING WHEAT-MGE December 2025 / HARD RED WINTER WHEAT March 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ25-@KWK27,HARD RED SPRING WHEAT-MGE December 2025 / HARD RED WINTER WHEAT May 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ25-@KWN27,HARD RED SPRING WHEAT-MGE December 2025 / HARD RED WINTER WHEAT July 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWH26-@KWN25,HARD RED SPRING WHEAT-MGE March 2026 / HARD RED WINTER WHEAT July 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWH26-@KWU25,HARD RED SPRING WHEAT-MGE March 2026 / HARD RED WINTER WHEAT September 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWH26-@KWZ25,HARD RED SPRING WHEAT-MGE March 2026 / HARD RED WINTER WHEAT December 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWH26-@KWH26,HARD RED SPRING WHEAT-MGE March 2026 / HARD RED WINTER WHEAT March 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWH26-@KWK26,HARD RED SPRING WHEAT-MGE March 2026 / HARD RED WINTER WHEAT May 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWH26-@KWN26,HARD RED SPRING WHEAT-MGE March 2026 / HARD RED WINTER WHEAT July 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWH26-@KWU26,HARD RED SPRING WHEAT-MGE March 2026 / HARD RED WINTER WHEAT September 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWH26-@KWZ26,HARD RED SPRING WHEAT-MGE March 2026 / HARD RED WINTER WHEAT December 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWH26-@KWH27,HARD RED SPRING WHEAT-MGE March 2026 / HARD RED WINTER WHEAT March 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWH26-@KWK27,HARD RED SPRING WHEAT-MGE March 2026 / HARD RED WINTER WHEAT May 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWH26-@KWN27,HARD RED SPRING WHEAT-MGE March 2026 / HARD RED WINTER WHEAT July 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWK26-@KWN25,HARD RED SPRING WHEAT-MGE May 2026 / HARD RED WINTER WHEAT July 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWK26-@KWU25,HARD RED SPRING WHEAT-MGE May 2026 / HARD RED WINTER WHEAT September 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWK26-@KWZ25,HARD RED SPRING WHEAT-MGE May 2026 / HARD RED WINTER WHEAT December 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWK26-@KWH26,HARD RED SPRING WHEAT-MGE May 2026 / HARD RED WINTER WHEAT March 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWK26-@KWK26,HARD RED SPRING WHEAT-MGE May 2026 / HARD RED WINTER WHEAT May 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWK26-@KWN26,HARD RED SPRING WHEAT-MGE May 2026 / HARD RED WINTER WHEAT July 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWK26-@KWU26,HARD RED SPRING WHEAT-MGE May 2026 / HARD RED WINTER WHEAT September 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWK26-@KWZ26,HARD RED SPRING WHEAT-MGE May 2026 / HARD RED WINTER WHEAT December 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWK26-@KWH27,HARD RED SPRING WHEAT-MGE May 2026 / HARD RED WINTER WHEAT March 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWK26-@KWK27,HARD RED SPRING WHEAT-MGE May 2026 / HARD RED WINTER WHEAT May 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWK26-@KWN27,HARD RED SPRING WHEAT-MGE May 2026 / HARD RED WINTER WHEAT July 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN26-@KWN25,HARD RED SPRING WHEAT-MGE July 2026 / HARD RED WINTER WHEAT July 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN26-@KWU25,HARD RED SPRING WHEAT-MGE July 2026 / HARD RED WINTER WHEAT September 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN26-@KWZ25,HARD RED SPRING WHEAT-MGE July 2026 / HARD RED WINTER WHEAT December 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN26-@KWH26,HARD RED SPRING WHEAT-MGE July 2026 / HARD RED WINTER WHEAT March 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN26-@KWK26,HARD RED SPRING WHEAT-MGE July 2026 / HARD RED WINTER WHEAT May 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN26-@KWN26,HARD RED SPRING WHEAT-MGE July 2026 / HARD RED WINTER WHEAT July 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN26-@KWU26,HARD RED SPRING WHEAT-MGE July 2026 / HARD RED WINTER WHEAT September 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN26-@KWZ26,HARD RED SPRING WHEAT-MGE July 2026 / HARD RED WINTER WHEAT December 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN26-@KWH27,HARD RED SPRING WHEAT-MGE July 2026 / HARD RED WINTER WHEAT March 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN26-@KWK27,HARD RED SPRING WHEAT-MGE July 2026 / HARD RED WINTER WHEAT May 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWN26-@KWN27,HARD RED SPRING WHEAT-MGE July 2026 / HARD RED WINTER WHEAT July 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU26-@KWN25,HARD RED SPRING WHEAT-MGE September 2026 / HARD RED WINTER WHEAT July 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU26-@KWU25,HARD RED SPRING WHEAT-MGE September 2026 / HARD RED WINTER WHEAT September 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU26-@KWZ25,HARD RED SPRING WHEAT-MGE September 2026 / HARD RED WINTER WHEAT December 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU26-@KWH26,HARD RED SPRING WHEAT-MGE September 2026 / HARD RED WINTER WHEAT March 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU26-@KWK26,HARD RED SPRING WHEAT-MGE September 2026 / HARD RED WINTER WHEAT May 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU26-@KWN26,HARD RED SPRING WHEAT-MGE September 2026 / HARD RED WINTER WHEAT July 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU26-@KWU26,HARD RED SPRING WHEAT-MGE September 2026 / HARD RED WINTER WHEAT September 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU26-@KWZ26,HARD RED SPRING WHEAT-MGE September 2026 / HARD RED WINTER WHEAT December 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU26-@KWH27,HARD RED SPRING WHEAT-MGE September 2026 / HARD RED WINTER WHEAT March 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU26-@KWK27,HARD RED SPRING WHEAT-MGE September 2026 / HARD RED WINTER WHEAT May 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWU26-@KWN27,HARD RED SPRING WHEAT-MGE September 2026 / HARD RED WINTER WHEAT July 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ26-@KWN25,HARD RED SPRING WHEAT-MGE December 2026 / HARD RED WINTER WHEAT July 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ26-@KWU25,HARD RED SPRING WHEAT-MGE December 2026 / HARD RED WINTER WHEAT September 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ26-@KWZ25,HARD RED SPRING WHEAT-MGE December 2026 / HARD RED WINTER WHEAT December 2025 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ26-@KWH26,HARD RED SPRING WHEAT-MGE December 2026 / HARD RED WINTER WHEAT March 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ26-@KWK26,HARD RED SPRING WHEAT-MGE December 2026 / HARD RED WINTER WHEAT May 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ26-@KWN26,HARD RED SPRING WHEAT-MGE December 2026 / HARD RED WINTER WHEAT July 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ26-@KWU26,HARD RED SPRING WHEAT-MGE December 2026 / HARD RED WINTER WHEAT September 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ26-@KWZ26,HARD RED SPRING WHEAT-MGE December 2026 / HARD RED WINTER WHEAT December 2026 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ26-@KWH27,HARD RED SPRING WHEAT-MGE December 2026 / HARD RED WINTER WHEAT March 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ26-@KWK27,HARD RED SPRING WHEAT-MGE December 2026 / HARD RED WINTER WHEAT May 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
@MWZ26-@KWN27,HARD RED SPRING WHEAT-MGE December 2026 / HARD RED WINTER WHEAT July 2027 IC SPREAD,MGCB,MGCB,ICSPREAD
